,verdict,instance,goal,Defences,Culprits,PRules,ORules,PStatements,OStatements,DefencesFound,Moves,Duration
248,no,exp_acyclic_indvary1_step6_batch_yyy08.pl,u3,,,,,,,,,0.9739382266998291
249,no,exp_acyclic_indvary3_step6_batch_yyy08.pl,r6,,,,,,,,,0.9763054847717285
250,no,exp_cycles_indvary1_step2_batch_yyy01.pl,q2,,,,,,,,,1.0529069900512695
251,no,exp_cycles_indvary1_step6_batch_yyy09.pl,z3,,,,,,,,,1.0420515537261963
252,no,exp_acyclic_indvary2_step3_batch_yyy08.pl,r2,,,,,,,,,1.0944163799285889
253,no,exp_cycles_indvary3_step6_batch_yyy01.pl,u5,,,,,,,,,0.9775118827819824
254,no,exp_cycles_indvary3_step6_batch_yyy04.pl,u7,,,,,,,,,0.9846189022064209
255,no,exp_acyclic_depvary_step6_batch_yyy02.pl,p5,,,,,,,,,0.9799623489379883
256,no,exp_acyclic_depvary_step9_batch_yyy04.pl,b1,,,,,,,,,1.1629714965820312
257,no,exp_acyclic_depvary_step9_batch_yyy07.pl,v2,,,,,,,,,1.0229213237762451
258,no,exp_acyclic_depvary_step6_batch_yyy03.pl,s1,,,,,,,,,1.004805088043213
259,no,exp_cycles_indvary3_step2_batch_yyy10.pl,a6,,,,,,,,,0.9758670330047607
260,no,exp_cycles_indvary3_step8_batch_yyy06.pl,b2,,,,,,,,,0.9949438571929932
261,no,exp_cycles_indvary1_step1_batch_yyy03.pl,z6,,,,,,,,,0.9550530910491943
262,no,exp_cycles_indvary3_step5_batch_yyy04.pl,s7,,,,,,,,,0.9770591259002686
